Year,Month,District,Nationality,Arrivals,Present
2010,1.0,St.Leonhard in Passeier,Andere Länder,22,206
2010,1.0,St.Leonhard in Passeier,Beneluxstaaten,22,227
2010,1.0,St.Leonhard in Passeier,Deutschland,441,2445
2010,1.0,St.Leonhard in Passeier,Italien,605,2676
2010,1.0,St.Leonhard in Passeier,Schweiz und Liechtenstein,55,187
2010,1.0,St.Leonhard in Passeier,Österreich,52,221
2010,1.0,St.Lorenzen,Andere Länder,1676,9364
2010,1.0,St.Lorenzen,Beneluxstaaten,504,2383
2010,1.0,St.Lorenzen,Deutschland,3347,16843
2010,1.0,St.Lorenzen,Italien,2360,11458
2010,1.0,St.Lorenzen,Schweiz und Liechtenstein,53,191
2010,1.0,St.Lorenzen,Österreich,246,1172
2010,1.0,St.Martin in Passeier,Andere Länder,3,72
2010,1.0,St.Martin in Passeier,Beneluxstaaten,0,1
2010,1.0,St.Martin in Passeier,Deutschland,120,865
2010,1.0,St.Martin in Passeier,Italien,393,1693
2010,1.0,St.Martin in Passeier,Schweiz und Liechtenstein,17,152
2010,1.0,St.Martin in Passeier,Österreich,11,41
2010,1.0,St.Martin in Thurn,Andere Länder,430,2362
2010,1.0,St.Martin in Thurn,Beneluxstaaten,280,946
2010,1.0,St.Martin in Thurn,Deutschland,595,2814
2010,1.0,St.Martin in Thurn,Italien,1604,7356
2010,1.0,St.Martin in Thurn,Schweiz und Liechtenstein,12,30
2010,1.0,St.Martin in Thurn,Österreich,19,52
2010,1.0,St.Pankraz,Andere Länder,7,14
2010,1.0,St.Pankraz,Deutschland,49,334
2010,1.0,St.Pankraz,Italien,113,504
2010,1.0,St.Ulrich,Andere Länder,3340,21062
2010,1.0,St.Ulrich,Beneluxstaaten,803,4576
2010,1.0,St.Ulrich,Deutschland,1690,8729
2010,1.0,St.Ulrich,Italien,9782,54205
2010,1.0,St.Ulrich,Schweiz und Liechtenstein,137,722
2010,1.0,St.Ulrich,Österreich,142,530
2010,1.0,Sterzing,Andere Länder,223,985
2010,1.0,Sterzing,Beneluxstaaten,77,389
2010,1.0,Sterzing,Deutschland,2651,8787
2010,1.0,Sterzing,Italien,2153,8644
2010,1.0,Sterzing,Schweiz und Liechtenstein,82,243
2010,1.0,Sterzing,Österreich,102,205
2010,1.0,Stilfs,Andere Länder,609,2763
2010,1.0,Stilfs,Beneluxstaaten,148,1073
2010,1.0,Stilfs,Deutschland,4874,29940
2010,1.0,Stilfs,Italien,1212,5141
2010,1.0,Stilfs,Schweiz und Liechtenstein,432,1612
2010,1.0,Stilfs,Österreich,131,401
2010,1.0,Taufers im Münstertal,Andere Länder,1,2
2010,1.0,Taufers im Münstertal,Beneluxstaaten,8,8
2010,1.0,Taufers im Münstertal,Deutschland,82,377
2010,1.0,Taufers im Münstertal,Italien,304,1042
2010,1.0,Taufers im Münstertal,Schweiz und Liechtenstein,85,241
2010,1.0,Taufers im Münstertal,Österreich,50,117
2010,1.0,Terenten,Andere Länder,789,3342
2010,1.0,Terenten,Beneluxstaaten,166,436
2010,1.0,Terenten,Deutschland,1810,7483
2010,1.0,Terenten,Italien,1423,6090
2010,1.0,Terenten,Schweiz und Liechtenstein,20,20
2010,1.0,Terenten,Österreich,66,177
2010,1.0,Terlan,Andere Länder,8,147
2010,1.0,Terlan,Beneluxstaaten,13,22
2010,1.0,Terlan,Deutschland,17,110
2010,1.0,Terlan,Italien,286,909
2010,1.0,Terlan,Schweiz und Liechtenstein,2,2
2010,1.0,Terlan,Österreich,2,42
2010,1.0,Tiers,Andere Länder,3,27
2010,1.0,Tiers,Beneluxstaaten,59,357
2010,1.0,Tiers,Deutschland,386,2411
2010,1.0,Tiers,Italien,457,2292
2010,1.0,Tiers,Schweiz und Liechtenstein,4,25
2010,1.0,Tiers,Österreich,11,55
2010,1.0,Tirol,Andere Länder,5,111
2010,1.0,Tirol,Beneluxstaaten,0,6
2010,1.0,Tirol,Deutschland,20,283
2010,1.0,Tirol,Italien,189,1671
2010,1.0,Tirol,Schweiz und Liechtenstein,7,68
